bls_code,icon_code
B101000,B8A9000
B106000,B106000
B106500,B106500
B106700,B106700
B106800,B106800
B107300,B107300
B107900,B107900
B111000,B111000
B111200,B111200
B111272,B111272
B111300,B111300
B111400,B111400
B111500,B111500
B111600,B111600
B111700,B111700
B111800,B111800
B121000,B121000
B121100,B121100
B121200,B121200
B121300,B121300
B121400,B121400
B121500,B121500
B121600,B121600
B122000,B122000
B131000,B131000
B221000,B221000
B226000,B226000
B226500,B226500
B226700,B226700
B226800,B226800
B227300,B227300
B227700,B227700
B231000,B231000
B251000,B251000
B254000,B254000
B254072,B254072
B255500,B255500
B255700,B255700
B256000,B256000
B256500,B256500
B256700,B256700
B257300,B257300
B257700,B257700
B259000,B259000
B271000,B271000
B275500,B275500
B275700,B275700
B276000,B276000
B276500,B276500
B276700,B276700
B276800,B276800
B277300,B277300
B277700,B277700
B291000,B291000
B309000,B309000
B311000,B311000
B314000,B314000
B314072,B314072
B314100,B314100
B314172,B314172
B314200,B314200
B314272,B314272
B401000,B401000
B406000,B406000
B406500,B406500
B406700,B406700
B406800,B406800
B411000,B411000
B416000,B416000
B416500,B416500
B416700,B416700
B416800,B416800
B421000,B421000
B426000,B426000
B426500,B426500
B426700,B426700
B426800,B426800
B491000,B491000
B491100,B491100
B491200,B491200
B491300,B491300
B491400,B491400
B511000,B511000
B511100,B511100
B511200,B511200
B515500,B515500
B516000,B516000
B516300,B516300
B516400,B516400
B516500,B516500
B516700,B516700
B517700,B517700
B521000,B521000
B521100,B521100
B521200,B521200
B526000,B526000
B526300,B526300
B526400,B526400
B526500,B526500
B526700,B526700
B531000,B531000
B551000,B551000
B551100,B551100
B551200,B551200
B551300,B551300
B551400,B551400
B551500,B551500
B551600,B551600
B551700,B551700
B551800,B551800
B561000,B561000
B561100,B561100
B561200,B561200
B561300,B561300
B561400,B561400
B591000,B591000
B629000,B629000
B6A1000,B6A1000
B6A1100,B6A1100
B6A1200,B6A1200
B6A1300,B6A1300
B6A1400,B6A1400
B6A1500,B6A1500
B6A1600,B6A1600
B6A2000,B6A2000
B6A2100,B6A2100
B6A2200,B6A2200
B6A2300,B6A2300
B6A2400,B6A2400
B6A2500,B6A2500
B6A2600,B6A2600
B6A2700,B6A2700
B6A2800,B6A2800
B6A2900,B6A2900
B6A3000,B6A3000
B6A3100,B6A3100
B6A3200,B6A3200
B6A4000,B6A4000
B6A4100,B6A4100
B6A5000,B6A5000
B6A5100,B6A5100
B6A5200,B6A5200
B6A6000,B6A6000
B710500,B710500
B710600,B710600
B710700,B710700
B710800,B710800
B710900,B710900
B717000,B717000
B718000,B718000
B719000,B719000
B723000,B723000
B723100,B723100
B723200,B723200
B723300,B723300
B723400,B723400
B723500,B723500
B723600,B723600
B780500,B780500
B781200,B781200
B781300,B781300
B781400,B781400
B781500,B781500
B781600,B781600
B782100,B782100
B783012,B783012
B821000,B821000
B822000,B822000
B881100,B881100
B881200,B881200
B8A1000,B8A1000
B8A2000,B8A2000
B8A3000,B8A3000
B8A4000,B8A4000
B8A5000,B8A5000
B8A6000,B8A6000
B8A7000,B8A7000
B8A8000,B8A8000
B8A8072,B8A8072
B8A9000,B8A9000
B8B1000,B8B1000
B8B2000,B8B2000
B8B3000,B8B3000
B8B4000,B8B4000
B8B5000,B8B5000
B8B6000,B8B6000
C111000,C111000
C111032,C111000
C111062,C111000
C111082,C111000
C113000,C113000
C113032,C113000
C114000,C114000
C117000,C117000
C117032,C117000
C118000,C118000
C118032,C118000
C118100,C118100
C118122,C118100
C119100,C119100
C119132,C119100
C119200,C119200
C119232,C119200
C121000,C121000
C121032,C121000
C123000,C123000
C123032,C123000
C126000,C126000
C130032,C131000
C131000,C131000
C133000,C133000
C133032,C133000
C136000,C136000
C137000,C137000
C137032,C137000
C138000,C138000
C141000,C141000
C141032,C141000
C143000,C143000
C143032,C143000
C146000,C146000
C147000,C147000
C147032,C147000
C148000,C148000
C148032,C148000
C211000,C211000
C211100,C211100
C211132,C211100
C212000,C212000
C212032,C212000
C213100,C213100
C213200,C213200
C213500,C213500
C214100,C214100
C214200,C214200
C215000,C215000
C216000,C216000
C217000,C217000
C218000,C218000
C218032,C218000
C219000,C219000
C219100,C219100
C219132,C219100
C219200,C219200
C219232,C219200
C219300,C219300
C219332,C219300
C221000,C221000
C221100,C221100
C221132,C221100
C222000,C222000
C222032,C222000
C223100,C223100
C223200,C223200
C223300,C223300
C223400,C223400
C223600,C223600
C232000,C232000
C232032,C232000
C233000,C233000
C234000,C234000
C234100,C234100
C234200,C234200
C235000,C235000
C235100,C235100
C235132,C235100
C236000,C236000
C236032,C236000
C236100,C236100
C237000,C237000
C238000,C238000
C238032,C238000
C240000,C240000
C240100,C240100
C240132,C240100
C240200,C240200
C241000,C241000
C241100,C241100
C241132,C241100
C241200,C241200
C242000,C242000
C242032,C242000
C243000,C243000
C311000,C311000
C311032,C311000
C317000,C317000
C317032,C317000
C320032,C322000
C322000,C322000
C326000,C326000
C326032,C326000
C327000,C327000
C327032,C327000
C332000,C332000
C333100,C333100
C333132,C333100
C334032,C332000
C335000,C335000
C335032,C335000
C341000,C341000
C341032,C341000
C341162,C341000
C346000,C346000
C346032,C346000
C347000,C347000
C347032,C347000
C350042,C352000
C350222,C350222
C351000,C351000
C351032,C351000
C351082,C351000
C352000,C352000
C352032,C352000
C352082,C352000
C353100,C353100
C353132,C353100
C353182,C353100
C354100,C354100
C354132,C354100
C356000,C356000
C356032,C356000
C359000,C359000
C359032,C359000
C359042,C359000
C359082,C359000
C412000,C412000
C412032,C412000
C412182,C412000
C413000,C413000
C414000,C414000
C414100,C414100
C415000,C415000
C416000,C416000
C421000,C421000
C422000,C422000
C422032,C422000
C424000,C424000
C432000,C432000
C432032,C432000
C433000,C433000
C433100,C433100
C443000,C443000
C446000,C446000
C453000,C453000
C456000,C456000
C457000,C457000
C492000,C492000
C492032,C492000
C492062,C492000
C492082,C492000
C512000,C512000
C512300,C538000
C512600,C512600
C512700,C538000
C512800,C513300
C513300,C513300
C514200,C514200
C514300,C514300
C514400,C514400
C514500,C514500
C514600,C514600
C514700,C514700
C515000,C515000
C515100,C515100
C515200,C515200
C515300,C515300
C515400,C515000
