code,name_de,name_en
B106000,Vollkornbrot mit Ölsamen,Wholemeal bread with oilseeds
B106500,Vollkornbrot mit Sonnenblumenkernen,Wholemeal bread with sunflower seeds
B106700,Vollkornbrot mit Kürbiskernen,Wholemeal bread with pumpkin seeds
B106800,Vollkornbrot mit Nüssen,Wholemeal bread with nuts
B107300,Vollkornbrot mit Buttermilch,Wholemeal bread with buttermilk
B107900,Vollkornbrot mit Quark,Wholemeal bread with quark
B111000,Weizenvollkornbrot,Wholemeal wheat bread
B111200,Weizenvollkorntoastbrot,Wholemeal wheat toast
B111272,Weizenvollkorntoastbrot getoastet,Wholemeal wheat toast toasted
B111300,Weizenvollkornbrot mit Kürbiskernen,Wholemeal wheat bread with pumpkin seeds
B111400,Weizenvollkornbrot mit Nüssen,Wholemeal wheat bread with nuts
B111500,Weizenvollkornbrot mit Ölsamen,Wholemeal wheat bread with oilseeds
B111600,Weizenvollkornbrot mit Sonnenblumenkernen,Wholemeal wheat bread with sunflower seeds
B111700,Weizenvollkornbrot mit Buttermilch,Wholemeal wheat bread with buttermilk
B111800,Weizenvollkornbrot mit Quark,Wholemeal wheat bread with quark
B121000,Roggenvollkornbrot,Wholemeal rye bread
B121100,Roggenvollkornbrot mit Kürbiskernen,Wholemeal rye bread with pumpkin seeds
B121200,Roggenvollkornbrot mit Nüssen,Wholemeal rye bread with nuts
B121300,Roggenvollkornbrot mit Ölsamen,Wholemeal rye bread with oilseeds
B121400,Roggenvollkornbrot mit Sonnenblumenkernen,Wholemeal rye bread with sunflower seeds
B121500,Roggenvollkornbrot mit Buttermilch,Wholemeal rye bread with buttermilk
B121600,Roggenvollkornbrot mit Quark,Wholemeal rye bread with quark
B122000,Roggenvollkornschrotbrot,Coarse wholemeal rye bread
B131000,Hafervollkornbrot,Wholemeal oat bread
B221000,Roggenbrot,Rye bread
B226000,Roggenbrot mit Ölsamen,Rye bread with oilseeds
B226500,Roggenbrot mit Sonnenblumenkernen,Rye bread with sunflower seeds
